,filename,date,page,house_senate,part,granule,title_name,name,token_counts,china_sentences,name_clean,party
840,CREC-2025-01-03-v171__CREC-2025-01-03-pt1-PgS23-3.txt,2025-01-03,PgS23,S,1,3.0,,,2414,"['7002), as amended, the Minority Leader appoints the following individual to the United States-China Economic and Security Review Commission effective January 1, 2025: Ms.']",None,
316,CREC-2025-01-03-v171__CREC-2025-01-03-pt1-PgH36-17.txt,2025-01-03,PgH36,H,1,17.0,,,72,"['Congress has the power to enact this legislation pursuant to the following: Article 1, Section 8 The single subject of this legislation is: To counter the influnce of the Chinese Communist Party, the Iranian Regime, and the Russian Federation in the nation of Georgia']",None,
1127,CREC-2025-01-03-v171__CREC-2025-01-03-pt1-PgH8-6.txt,2025-01-03,PgH8,H,1,6.0,Mrs. FISCHBACH,Fischbach,20720,"['(a) Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party.--House Resolution 11, One Hundred Eighteenth Congress, as amended by House Resolution 78, One Hundred Eighteenth Congress, shall apply in the One Hundred Nineteenth Congress in the same manner as such resolution applied in the One Hundred Eighteenth Congress, except that-- (1) the Select Committee concerned shall submit all reports to the House or policy recommendations to the relevant standing committees under section 1(e) not later than December 31, 2026; and (2) the investigative jurisdiction of the Select Committee shall consist of policy recommendations on countering the economic, technological, security, and ideological threats of the Chinese Communist Party to the United States and allies and partners of the United States.', '33) to amend the Internal Revenue Code of 1986 to provide special rules for the taxation of certain residents of Taiwan with income from sources within the United States.', 'Committees, Commissions, and House Offices Select Committee on the Stategic Competition Between the United States and the Chinese Communist Party.', ""Subsection (a) continues the Select Committee as in the 118th Congress with the purpose of investigating and submitting policy recommendations to counter the Chinese Communist Party's economic, technological, security, and ideological threats and with updated deadlines for policy recommendations and reports (December 31, 2026)."", 'A bill to amend the Internal Revenue Code of 1986 to provide special rules for the taxation of certain residents of Taiwan with income from sources within the United States.', ""It also extends the Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party to develop policies addressing the CCP's economic and geopolitical aggression."", ""{time} 1730 These bills will help secure our borders, protect our communities, counter China's influence, and restore sanity in the Federal Government.""]",Fischbach,R
392,CREC-2025-01-03-v171__CREC-2025-01-03-pt1-PgH36-14.txt,2025-01-03,PgH36,H,1,14.0,,,75,['The single subject of this legislation is: To provide special rules for the taxation of certain residents of Taiwan with income from sources within the United States.'],None,
213,CREC-2025-01-03-v171__CREC-2025-01-03-pt1-PgH27-7.txt,2025-01-03,PgH27,H,1,7.0,Mr. PFLUGER,Pfluger,13238,"['A bill to amend the Internal Revenue Code of 1986 to provide special rules for the taxation of certain residents of Taiwan with income from sources within the United States; to the Committee on Ways and Means, and in addition to the Committee on Rules, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.']",Pfluger,R
198,CREC-2025-01-07__CREC-2025-01-07-pt1-PgS38.txt,2025-01-07,PgS38,S,1,,Mr. CORNYN,Cornyn,2905,"['Fentanyl, which is now the leading cause of death of young people in America 18 to 45, is manufactured--or the precursors are manufactured in China and trafficked through the U.S.-Mexico border.', 'Texans voted resoundingly for President Trump in this last election in part because of his pledge to hold China accountable.', 'China threatens the peace in the Indo-Pacific by threatening to invade its neighbor Taiwan and interrupt freedom of commerce and freedom of navigation in the Indo-Pacific.', 'One of the ways that we can hold China accountable is to pass my legislation to address outbound investment in China.', 'I just had a chance to visit with the new Treasury Secretary nominee, and I told him it was really strange to me when you look historically at how we dealt with the Soviet Union and how we dealt with China, both of which are ruled by communist governments.', 'position toward China was just the opposite.', 'Under President Clinton, he invited them into the World Trade Organization, believing that somehow by engaging in more trade with the rest of the world, that somehow China and the Communist Party would change.', 'Well, as Xiaoping, one of the former leaders of communist China, said: Hide your motives and bide your time.', 'And that is exactly what China has done.', 'China has now become the manufacturing center for the world.', 'When you are buying inexpensive consumer products, that is one thing, but when you consider the vulnerability of our supply chains and things that China makes and does--like processes critical minerals, which it does 90 percent of the critical minerals of the world that we need for a variety of products, including military weapons--that represents a huge vulnerability.', 'Well, we need to know who is investing in what industries in China because, right now, the rough estimate of the market value of American-based investment in China in 2020 was $2.3 trillion.', 'China has built its economy--which, by itself, should not be a big concern--but they now have become a rival to the United States.', 'But China is famous for not honoring intellectual property laws and stealing all the technology they can.', ""And they are using their economic power, which is synonymous with their military power because they have something called civilian- military fusion laws, which said if the private sector creates a new innovative product, they have to share it with the People's Liberation Army and the Communist Party in China."", 'My point is, my outbound investment piece of legislation says we need to know who is investing money in China and what that is being used for.', 'I could care less if people want to build more Burger Kings or Starbucks in China.', 'But when you start talking about advanced semiconductors, when you start talking about serial intellectual property theft, when you look at some of the weapons systems and the airframes China has been creating, they bear a remarkable resemblance to those we built here in the United States because they have engaged in massive theft through cyber attacks and through intellectual property theft.', 'But it is simply foolish for the United States to continue to blindly invest billions of dollars in the very defense systems and technologies that the Chinese Communist Party could use to our detriment in the Indo-Pacific.', 'He says: American investors are going to fund the very military buildup that will result in the death of my marines if China were to invade Taiwan.', 'While some might be concerned about lost investment potential in China, there are plenty of opportunities here at home and in other parts around the world, as we see more friendshoring and nearshoring, to create dependable supply chains to Asia, India, and elsewhere.', ""This would be a big win for America and a big win for my State as well and a big loss for the ``axis of evil''--Russia, China, Iran, and North Korea that are working together to undermine the United States and the West.""]",Cornyn,R
368,CREC-2025-01-08__CREC-2025-01-08-pt1-PgS46-3.txt,2025-01-08,PgS46,S,1,3.0,Mr. SCHUMER,Schumer,19318,"['Then, there is China, which--as the Presiding Officer knows with all of his experience in Asia--is a huge challenge for the United States.', ""President Xi has stated he wants the People's Liberation Army to be prepared by 2027 to take Taiwan by whatever means necessary."", ""We are not ready, and we have to be ready to maintain and reestablish deterrence so that does not happen; so that President Xi wakes up day after day and he says to himself, ``Not today.'' And tomorrow he wakes up and says, ``Not today.'' That is what deterrence is about."", 'Where would American sports be without people like figure skater Michelle Kwan, born in California to parents who had emigrated from Hong Kong; or baseball legend Alex Rodriguez, born in Manhattan to parents who had emigrated from the Dominican Republic?', 'Where would American acting be without people like Renee Zellweger, born in Texas to parents who had emigrated from Switzerland and Norway; or Bruce Lee, born in California to parents who had emigrated from Hong Kong and Shanghai?', ""One is strengthening our ties with Israel and standing with our allies like Taiwan and assisting them as we stand up to what I call the ``axis of evil''--Russia, China, Iran, and North Korea."", 'One of the bipartisan measures that I brought forward after China took control of Hong Kong was to make certain that we supported internet freedom and that we blocked the export of crowd-control equipment to China and China-controlled Hong Kong and barred the FAA from buying drones from the U.S.', ""china's mad scientists The entire world knows Dr."", ""Fauci funded risky research on coronaviruses in China's Wuhan Institute of Virology with taxpayer dollars."", 'Then we are funding billions of dollars on gain-of-function research and teaching China how to develop weapons against Americans.', 'The biodefense program for the NIAID is spending over $2 billion annually, again, to help communist China develop bioweapons against Americans.']",Schumer,D
664,CREC-2025-01-09__CREC-2025-01-09-pt1-PgS80-6.txt,2025-01-09,PgS80,S,1,6.0,,,990,"[""1111), which established the Office of Personnel Management in the Executive Branch, created the Senior Executive Service, and codified Federal labor relations for non-postal Federal employees; Whereas, during President Carter's administration, the United States and the People's Republic of China established official diplomatic relations for the first time; Whereas President Carter worked with Congress to create the Department of Education and the Department of Energy to oversee comprehensive education and energy policy for the United States; Whereas, in 1979, President Carter successfully negotiated the Strategic Arms Limitations Treaty (SALT) II with Soviet Union General Secretary Leonid Brezhnev to restrict the nuclear forces of both nations; Whereas President Carter, after leaving the White House, remained devoted to public service, serving as a professor at Emory University in Atlanta, Georgia, and co-founding with his wife, Rosalynn, The Carter Center to alleviate human suffering and advance human rights by strengthening democracy, resolving conflicts, fighting neglected tropical diseases, and improving access to mental health care worldwide; Whereas The Carter Center has engaged in conflict mediation in the Middle East, Africa, Europe, South America, the Caribbean, and Asia, spearheaded efforts that have nearly eradicated the Guinea worm disease and eliminated several other tropical diseases in regions of Africa and the Americas, improved mental health care, faithfully observed more than 100 elections in 40 countries to strengthen global democracies, and promoted international human rights; Whereas President Carter was a dedicated volunteer with Habitat for Humanity and co-led the Jimmy & Rosalynn Carter Work Project for over 30 years, working on approximately 4,400 homes in 14 countries to build affordable housing; Whereas President Carter received the United Nations Human Rights Prize in 1998; Whereas President Carter and Rosalynn Carter jointly received the Presidential Medal of Freedom in 1999 for their exemplary contributions towards globally advancing peace, human rights, and health; Whereas President Carter was awarded the 2002 Nobel Peace Prize for his decades of work in international conflict resolution, human rights, and economic and social development, making him 1 of 4 United States Presidents to receive the prize; Whereas President Carter lived to be 100 years old, longer than any other President; and Whereas President Carter leaves behind an honorable legacy of humanitarian work and a shining example of a lifetime of service: Now, therefore, be it Resolved, That the Senate-- (1) mourns the passing of former President Jimmy Carter, the longest living President in the history of the United States, and extends its sympathies to his family; and (2) honors the life and legacy of former President Jimmy Carter and his contributions to the United States of America.""]",None,
383,CREC-2025-01-09__CREC-2025-01-09-pt1-PgH87-2.txt,2025-01-09,PgH87,H,1,2.0,Mr. YAKYM,Yakym,6399,"['A bill to prohibit the Director of the National Science Foundation from awarding grants and other forms of assistance to Chinese communist military companies and their affiliates, and for other purposes; to the Committee on Science, Space, and Technology.']",Yakym,R
888,CREC-2025-01-09__CREC-2025-01-09-pt1-PgS78-2.txt,2025-01-09,PgS78,S,1,2.0,Mr. DAINES,Daines,1884,"[""A bill to impose sanctions with respect to police departments in the People's Republic of China and other persons seeking to establish a Chinese police presence in the United States; to the Committee on Foreign Relations.""]",Daines,R
218,CREC-2025-01-09__CREC-2025-01-09-pt1-PgS69-6.txt,2025-01-09,PgS69,S,1,6.0,Mr. GRASSLEY,Grassley,9008,[],Grassley,R
377,CREC-2025-01-09__CREC-2025-01-09-pt1-PgH79.txt,2025-01-09,PgH79,H,1,,Mr. SCHWEIKERT,Schweikert,5591,"['Remember, China is not the number one owner of bonds.', 'China has been actually rolling off its bonds for 3 or 4 years.', 'What is going on in China where they are borrowing like crazy?']",Schweikert,R
573,CREC-2025-01-09__CREC-2025-01-09-pt1-PgH76-5.txt,2025-01-09,PgH76,H,1,5.0,Ms. KAPTUR,Kaptur,2196,"[""Still, Carter's biographers have concluded that the young idealists he seeded throughout the federal bureaucracy changed American life and the nation's role in the world by leading the deregulation of the airline and trucking industries, engineering diplomatic recognition of China, and emphasizing human rights in U.S.""]",Kaptur,D
390,CREC-2025-01-09__CREC-2025-01-09-pt1-PgH67-6.txt,2025-01-09,PgH67,H,1,6.0,Mr. MAST,Mast,10058,"['American companies would be banned from doing business with the ICC if its top officials are sanctioned, and their Chinese competitors would rush in to fill the gap.', ""Not only does this undermine America's interests, but it bolsters Russia and helps China.""]",Mast,R
944,CREC-2025-01-13__CREC-2025-01-13-pt1-PgS85-2.txt,2025-01-13,PgS85,S,1,2.0,Mr. DURBIN,Durbin,2615,"['Because of the way it is drafted, the Department of State, under any administration, could be blocked from issuing any visas to nationals from a certain country, like India or China.']",Durbin,D
661,CREC-2025-01-14__CREC-2025-01-14-pt1-PgH142-3.txt,2025-01-14,PgH142,H,1,3.0,Mr. SCHWEIKERT,Schweikert,5771,"[""] Here is the irony that people need to understand: The United States and a few other governments, such as China, are bingeing on so much debt that they have a ravenous appetite to grab people's savings and borrow it around the world.""]",Schweikert,R
737,CREC-2025-01-14__CREC-2025-01-14-pt1-PgS129-2.txt,2025-01-14,PgS129,S,1,2.0,Mr. DURBIN,Durbin,1003,"['He defended Ukraine, boosted competition with China, and strengthened alliances in the South Pacific.']",Durbin,D
257,CREC-2025-01-14__CREC-2025-01-14-pt1-PgD37-3.txt,2025-01-14,,,1,3.0,,,458,['33--United States-Taiwan Expedited Double-Tax Relief Act.'],None,
671,CREC-2025-01-14__CREC-2025-01-14-pt1-PgH148.txt,2025-01-14,PgH148,H,1,,Mr. DAVIDSON,Davidson,1789,"['A bill to require the United States Governor of, and the United States Executive Director at, the International Monetary Fund to oppose an increase in the weight of the Chinese renminbi in the Special Drawing Rights basket of the Fund, and for other purposes; to the Committee on Financial Services.']",Davidson,R
565,CREC-2025-01-14__CREC-2025-01-14-pt1-PgS130-5.txt,2025-01-14,PgS130,S,1,5.0,Mr. CORNYN,Cornyn,8170,"[""Now, the nations of the world rush to court China and regard the United States as yesterday's news.""]",Cornyn,R
591,CREC-2025-01-14__CREC-2025-01-14-pt1-PgE25-3.txt,2025-01-14,,,1,3.0,,,583,"['Following boot camp, his first deployment, at seventeen, was to China to attempt to keep peace between the communists in the North and the free people of the South.', 'The United States soon realized this was impossible and removed the Marines from China.']",None,
546,CREC-2025-01-15__CREC-2025-01-15-pt1-PgE36-2.txt,2025-01-15,,,1,2.0,Mr. BACON,Bacon,216,"['Congressional Record, Volume 171 Issue 8 (Wednesday, January 15, 2025) From the Congressional Record Online through the Government Publishing Office ILLICIT NICOTINE POUCHES FROM CHINA ______ HON.', 'These illicit products, most of which are coming from China, avoid FDA regulation, confusing adult consumers seeking safer alternatives and retailers, and muddying the waters for manufacturers that are following the rules.', 'While enforcement action has largely focused on e-cigarettes, the Food and Drug Administration has paid little attention to illicit Chinese nicotine pouches and enforcing the rules--especially when the foreign manufacturer failed to apply for FDA authorization.', 'By doing so, the FDA will authorize nicotine pouch products that are appropriate for the protection of public health and stem the flow of illicit products coming in from China.']",Bacon,R
